id,conversation_id,message,context,intent,label_source,categories,difficulty,expected_escalation,escalation_reason,required_evidence,labeler_notes,historical_resolution_sample
golden_001,AmazonHelp_1004593,"It REALLY annoys me that each and every time I order something from Amazon prime and USPS is the carrier, they NEVER deliver my items on time!",,cancellation_or_refund_request,manual_primary_labeler_review,"common,noisy",medium,True,High-risk intent (cancellation_or_refund_request),"Customer explicitly wants to cancel an order, or is requesting or following up on a refund (including refund amount/timeline disputes). Financial-action intent.",[corrected to 'cancellation_or_refund_request' during manual primary-labeler review],@357780 I'm very sorry for this inconvenience. We'd like to look into this with you. Please reach out to us with more details here: https://t.co/hApLpMlfHN ^RB
golden_002,AmazonHelp_2467929,"the one day I have a day off work and I ""missed"" my package from Amazon 😭",,return_or_replacement_request,classifier_fallback,common,easy,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@706115 Who is the carrier on the order? ^JF
golden_003,AmazonHelp_2971860,Can someone explain to me why I paid for 1 day shipping for something off @115821 and fed ex delayed the package till tomorrow.... bruhhhh,,delivery_delay,keyword_rule(2_hits),common,easy,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[corrected to 'delivery_delay' during manual primary-labeler review],@819691 Oh no! Did you receive an email regarding the delay? ^BA
golden_004,AmazonHelp_98699,So...from what I gather... if we use @115821 prime's next day service in Toronto and they don't have any drivers available they just cancel your order. They make no attempt to deliver? Seriously?!?! What is happening to this company!,,delivery_delay,classifier_fallback,"common,ambiguous,noisy",hard,True,Ambiguous intent (classifier margin < 0.15),"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@137602 I'd like a specialist to look into this with you, Gigi. When you have a moment, drop your details here: https://t.co/dX84huFCDX. We'll follow up shortly after. ^BL"
golden_005,AmazonHelp_2962802,Furious with @115830 #prime.  Debiting my account for a service I didn’t sign up for them saying I would be refunded and then debiting it again! #pathetic @AmazonHelp @115821,,delivery_delay,classifier_fallback,"common,multi_intent",hard,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@817546 I'm so sorry for the unexpected charge. We don't have access to account information over Twitter. We'd still like to help. Have you tried reaching us regarding the charge here: https://t.co/Jz
golden_006,AmazonHelp_554643,@115821 Don’t know why I bother to pay prime really... not the first time this has happened! @AmazonHelp,,delivery_delay,classifier_fallback,common,easy,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@249446 Thanks for the information. Please send us your details here so we may look into this: https://t.co/HAaSE2xxEv ^GG
golden_007,AmazonHelp_532692,"@AmazonHelp hello,I have received my order but as you can see it is already opened and the cd ""who built the moon"" is missing, customer service have reordered it for me,either it's been opened deliberately or the seal has failed and the cd has fallen out https://t.co/uHlTenrTTk",,delivery_not_received,classifier_fallback,"common,ood",hard,True,Out-of-distribution / low retrieval confidence,"Tracking/carrier shows the package as delivered (or a delivery attempt was made), but the customer says they did not actually receive it -- distinct from delivery_delay because there is no further ""in transit"" status to check; this typically requires an investigation/claim rather than just waiting.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@222558 Hi, thanks for confirming a replacement is being arranged for you. Please let us know if you've any issues with your replacement order. ^TS"
golden_008,AmazonHelp_2877713,I never actually receive my “same day” orders from amazon on the same day. Maybe they’ll show up tomorrow? They say delivered. Who knows. It’s always a mystery. @AmazonHelp,,customer_service_complaint,manual_primary_labeler_review,common,easy,True,High-risk intent (customer_service_complaint),"General dissatisfaction or venting about support quality itself (""worst customer service"", ""pathetic"") without a distinct, actionable request beyond ""fix this."" High escalation risk because there is often no single retrievable resolution -- the underlying issue is usually one of the other intents, expressed as a complaint about *how* it was (mis)handled.",[corrected to 'customer_service_complaint' during manual primary-labeler review],@226061 Sorry to hear about this. Can you contact us here:  https://t.co/hApLpMlfHN so we can take a look for you? ^MI
golden_009,AmazonHelp_1777697,@115850 seems they have got a huge population of prime members in india and now they don't want more customers in india https://t.co/Cngg7ux6Kr,,delivery_delay,classifier_fallback,common,easy,False,,"Order or package has not arrived by the promised, guaranteed, or expected delivery date. Customer is reporting lateness, not a fully missing/lost package.",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],"@534144 If you've shared your details, you should have received an email correspondence from Social Media Team here : https://t.co/Gggzh6WbZE. Request you to please check. ^AS"
golden_010,AmazonHelp_1224086,"@AmazonHelp what’s happened here, it’s nowhere near 8pm? I’ve been in all day waiting so there’s been no attempt to deliver it to me! https://t.co/2wUXKbpbVm",,return_or_replacement_request,classifier_fallback,common,easy,False,,"Customer received a wrong, damaged, defective, or counterfeit product and wants a return, replacement, or exchange (as opposed to simply wanting money back, though these can overlap).",[label confirmed during manual primary-labeler review; row reconstructed 2026-09-14 after accidental build overwrite -- see scripts/restore_golden_csv_from_review.py],@139217 Oh no!  Has the parcel missed the delivery date provided in your order confirmation e-mail? We're here to help in any way we can! ^AZ
