id,message,true_intent,generated_reply,is_mock,human_correctness,human_groundedness,human_helpfulness,human_completeness,human_actionability,human_brand_consistency,human_safety
golden_164,@AmazonHelp can u help this keeps popping up every time i want to buy my friend something from their wishlist and it’s done this to EVERY item in the wishlist https://t.co/JrrX9IY0k3,general_other,"Hi there! Sorry you’re seeing that pop‑up every time you try to buy something from a wishlist. A few things that have helped other shoppers with similar issues are:
1. Close the Amazon app (or browser tab) and open it again.
2. Make sure the app is updated to the latest version.
3. If you’re on a web browser, try clearing your cache and cookies, or try a different browser/device.
If the problem continues after those steps, please reach out to our support team so we can investigate further: https://t.co/vlvfJr4nN9. Thanks for your patience!",False,3,2,3,4,4,3,4
golden_029,@115850 Order# 405-2797358-2470712 No update; only DTDC tracking no Z44698404 which says package delivered to a wrong address,order_status_inquiry,"Hi there,

I'm sorry to hear that the tracking information for Order # 405-2797358-2470712 shows delivery to the wrong address. Could you please check with DTDC to see if they have any additional details or options for you?

In the meantime, kindly report this issue using the following link so we can investigate further: https://t.co/vlvfJr4nN9. Once we have your report, we’ll look into the delivery status right away.

Thank you for your patience, and we’ll do our best to resolve this for you.",False,4,4,4,4,4,2,2
golden_007,"@AmazonHelp hello,I have received my order but as you can see it is already opened and the cd ""who built the moon"" is missing, customer service have reordered it for me,either it's been opened deliberately or the seal has failed and the cd has fallen out https://t.co/uHlTenrTTk",delivery_not_received,"Hi there,

I’m really sorry to hear that your order arrived opened and the CD ""Who Built the Moon"" was missing. I understand how frustrating that must be. I see that a replacement has already been reordered for you, and we’ll work to get it to you as quickly as possible.

If you have any additional details or photos of the package, please feel free to share them with us. You can also reach out via chat or phone so we can look into this further and make sure everything is resolved to your satisfaction.

Thank you for bringing this to our attention, and we appreciate your patience.

Best regards,
Customer Support",False,2,1,2,4,2,2,4
golden_190,"Wonder if @115830 delivery are under so much pressure to hit targets they’re marking parcels delivered when they’re not. 2nd item in as many weeks not received despite notification of delivery. Stress and worry, not a great customer experience. 😧",app_or_device_technical_issue,"We’re very sorry you’ve been marked as delivered but haven’t received your parcel – that’s certainly not the experience we want you to have. If you haven’t already, could you please check with any nearby neighbours or a safe‑place location where the driver might have left it? If the item is still missing, please reach out to us using this link so we can investigate and get it sorted for you: https://t.co/JzP7hlA23B",False,2,1,4,4,4,2,4
golden_071,@115830 (2/2) I’ve contacted the seller and was told to wait 2 days for a response. if I’m paying for prime then I shouldn’t have to wait for my delivery when I was given a specific date for delivery that it has not been met??? ignore the monkey. Hiding the birthday gift,prime_membership_issue,"Hi there,

I’m sorry to hear that your Prime delivery didn’t arrive on the date you were expecting. We aim to deliver orders by the delivery date that’s confirmed when the order is placed, but please note that the delivery window is calculated from the time the order ships, not from the moment you place it. Occasionally, factors outside of our control can cause a delay.

I’ll look into the status of your order and get back to you with an update as soon as possible. Thank you for your patience.

Best regards,
Customer Support",False,4,3,2,3,2,2,4
golden_063,"Remember when @115821 got upset when @115817 and @81 missed deliveries?  So Amazon set up their own logistics?  Yea, @115821 missed today’s delivery and is only giving a date range for next attempt. I miss @115817 and @81.",delivery_not_received,"Hi, I’m sorry to hear that your delivery was missed again. To investigate this for you, could you please share the order number and the carrier listed on your tracking information? You can also reach our delivery support team directly through this link: https://t.co/2n73phHPtG. Once we have those details, we’ll work on getting a new delivery window for you.",False,3,2,4,1,4,2,4
golden_058,"Hey @115821 and @118706, Thatnks for delivering my package to the side of my driveway nowhere near my mailbox of my door. It was really fun looking for it in the middle of the night....DO BETTER. It looks like someone just literally tossed it in my lawn. WTF",content_availability_inquiry,"Hi there,

I’m really sorry to hear that your package was left in the middle of your driveway instead of a safe spot. That’s definitely not the experience we want you to have. Could you let us know if the item was damaged in any way?

To help us investigate further, please share a few more details about the order (order number, delivery date, and any photos you may have) using this form: https://t.co/RHUI1ew188. A team member will review the information and get back to you as soon as possible.

If you’d prefer to speak with us directly, you can also reach us by phone or chat here: https://t.co/eJXKURvpr8.

Thank you for bringing this to our attention – we’ll work to make sure it doesn’t happen again.

Best regards,
Customer Support",False,4,3,4,3,4,3,4
golden_036,Its been 4 days already and I havenot recieved any call or update regarding the counterfeiting of @112482 . And fake sellers are selling without any fear on your platform. @Amazonhelp @115851 https://t.co/XTyoD4yLo1,order_status_inquiry,"Hi there,

We’re sorry to hear you’ve encountered a counterfeit product on our platform and that you haven’t received an update yet. We take reports of fake or counterfeit listings very seriously.

Could you please share the order number (or the listing ID) and any screenshots or details you have about the product and the seller? You can submit this information through our support channel here: https://t.co/rS49hgaADF. Please avoid including personal or payment details in the message.

Once we receive the details, our team will investigate the listing and get back to you as soon as possible.

Thank you for bringing this to our attention.

Best regards,
Customer Support",False,2,1,3,4,4,2,4
golden_189,Ordered a work colleagues leaving present from @115830. I've only got half the items I've ordered and they all say they are delivered. I cannot find a phone number or anything helpful on the website. Help!,general_other,"Hi there,

I’m sorry to hear that you’ve only received half of the items from your order, even though the tracking shows everything as delivered. To help us look into this for you, could you please provide your order number and let us know whether the items were sold by Amazon or a third‑party seller? You can check that information here: https://t.co/aaDyEz1VgE.

In the meantime, the quickest way to get this investigated is to contact our support team directly through this link: https://t.co/hApLpMlfHN. An agent will be able to open a case, verify the delivery details, and work on getting the missing items to you.

Thank you for your patience, and we’ll do our best to resolve this as soon as possible.",False,4,3,4,4,4,3,4
golden_027,@115850 Unable to add Money to Amazon Pay.. Not receiving verification text mesaage! https://t.co/ogyF6qBqS7,payment_or_billing_issue,"Hi there, sorry to hear you’re having trouble adding money to your Amazon Pay balance and not receiving the verification text. To help us investigate this quickly, could you please share the details of the issue (e.g., the phone number linked to your account, the last four digits of the card you’re trying to use, and any error messages you see) using this link: https://t.co/GIJyeYqKE0. Once we have that information, our team will look into the problem and get back to you.",False,4,3,4,4,4,2,3
